Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent,Icon,Icon Ref
Gearset,Measured Assembly,S,Measured Assembly,Skill Tier,A,,,,,
Exotic,Overdogs,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Weakest Link,overdogs.png,player_gear_gloves_exotic_06_pm_g_y7s2_overdogs_icon
High End,Urban Lookout,A,Urban Lookout,Weapon Damage,A,A,,,,
Gearset,Tipping Scales,S,Tipping Scales,Weapon Damage,A,,,,tipping_scales.png,
High End,Unit Alloys,A,Unit Alloys,Weapon Damage,A,A,,,unit_alloys.png,
Gearset,Concentrated Company,S,Concentrated Company,Weapon Damage,A,,,,concentrated_company.png,
High End,Royal Works,A,Royal Works,Weapon Damage,A,A,,,royal_works.png,
Gearset,Core Strength,S,Core Strength,Armor,A,,,,core_strength.png,
High End,Edelweiss GPz,A,Edelweiss GPz,Skill Tier,A,A,,,edelweiss_gpz.png,
Gearset,Ortiz: Reficere,S,Ortiz: Reficere,Skill Tier,A,,,,ortiz_reficere.png,
