Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Mod 2,Talent,Icon,Icon Ref
Gearset,Refactor,S,Refactor,Skill Tier,A,,A,,,refactor.png,player_gear_set_v_mask_01_pm_gm_y7s1_a1_icon
Exotic,Tinkerer,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,A,,Abridged,tinkerer.png,player_gear_mask_exotic_05_pm_gm_ex5_a1_icon
High End,Imminence Armaments,A,Imminence Armaments,Weapon Damage,A,A,A,,,,
Gearset,Measured Assembly,S,Measured Assembly,Skill Tier,A,,A,,,,
Exotic,The Catalyst,E,Exotic,Weapon Damage,Hazard Protection,Status Effects,A,,Chemical Agent,catalyst.png,player_gear_mask_exotic_04_pm_gm_ex4_a1_icon
High End,Urban Lookout,A,Urban Lookout,Weapon Damage,A,A,O,,,urban_lookout.png,
Gearset,Tipping Scales,S,Tipping Scales,Weapon Damage,A,,O,,,tippin_scales.png,
High End,Unit Alloys,A,Unit Alloys,Weapon Damage,A,A,A,,,unit_alloys.png,
Gearset,Concentrated Company,S,Concentrated Company,Weapon Damage,A,,A,,,concentrated_company.png,
High End,Royal Works,A,Royal Works,Weapon Damage,A,A,O,,,royal_works.png,
Gearset,Core Strength,S,Core Strength,Armor,A,,A,,,core_strength.png,
Exotic,Investor,E,Exotic,Weapon Damage,A,A,,,Slotted,investor.png,player_gear_mask_exotic_06_pm_gm_y8s1_ex_a1
High End,Edelweiss GPz,A,Edelweiss GPz,Skill Tier,A,A,A,,,edelweiss_gpz.png,
Gearset,Ortiz: Reficere,S,Ortiz: Reficere,Skill Tier,A,,A,,,ortiz_reficere.png,
