Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent,Icon,Icon Ref
Gearset,Ongoing Directive,S,Ongoing Directive,Weapon Damage,A,,,,ongoing_directive.png,
High End,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,,overlord_armaments.png,
Named,Fox's Prayer,N,Overlord Armaments,Weapon Damage,Damage to TOC,A,,,foxs_prayer.png,24
High End,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,,petrov_defense_group.png,
High End,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,,providence_defense.png,
High End,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,,richter_and_kaiser_gmbh.png,
High End,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,,sokolov_concern.png,
Gearset,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,,strikers_battlegear.png,player_gear_set_j_kneepads_01_pm_k_set11_a1
Gearset,System Corruption,S,System Corruption,Armor,A,,,,system_corruption.png,
Gearset,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,,tip_of_the_spear.png,
Gearset,True Patriot,S,True Patriot,Armor,A,,,,true_patriot.png,
High End,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,,wyvern_wear.png,
High End,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,,yaahl_gear.png,
High End,Improvised Kneepads,A,Crafted,A,A,A,A,,improvised_kneepads.png,
High End,"Walker, Harris & Co.",A,"Walker, Harris & Co.",Weapon Damage,A,A,,,walker_harris_and_co.png,
Gearset,Eclipse Protocol,S,Eclipse Protocol,Skill Tier,A,,,,eclipse_protocol.png,
High End,Empress International,A,Empress International,Skill Tier,A,A,,,empress_international.png,
Gearset,Hunter's Fury,S,Hunter's Fury,Weapon Damage,A,,,,hunters_fury.png,
Gearset,Rigger,S,Rigger,Skill Tier,A,,,,rigger.png,
High End,Belstone Armory,A,Belstone Armory,Armor,A,A,,,belstone_armory.png,
High End,Uzina Getica,A,Uzina Getica,Armor,A,A,,,uzina_getica.png,
Gearset,Heartbreaker,S,Heartbreaker,Armor,A,,,,heartbreaker.png,
Gearset,Umbra Initiative,S,Umbra Initiative,Weapon Damage,A,,,,umbra_initiative.png,player_gear_kneepads_tu16_umbra_pm_k_y4_raven
High End,Brazos de Arcabuz,A,Brazos de Arcabuz,Armor,A,A,,,brazos_de_arcabuz.png,
Gearset,Hotshot,S,Hotshot,Weapon Damage,A,,,,hotshot.png,
High End,Habsburg Guard,A,Habsburg Guard,Armor,A,A,,,habsburg_guard.png,
High End,Electrique,A,Electrique,Skill Tier,A,A,,,electrique.png,
Gearset,Cavalier,S,Cavalier,Armor,A,,,,cavalier.png,
High End,Lengmo,A,Lengmo,Armor,A,A,,,lengmo.png,
Gearset,Ortiz: Exuro,S,Ortiz: Exuro,Skill Tier,A,,,,ortiz_exuro.png,
Gearset,Aegis,E,Aegis,Armor,A,,,,,
High End,Palisade Steelworks,A,Palisade Steelworks,Armor,A,A,,,,
High End,Zwiadowka Sp. z o.o.,A,Zwiadowka Sp. z o.o.,Weapon Damage,A,A,,,,
Gearset,Breaking Point,S,Breaking Point,Weapon Damage,A,,,,,
Exotic,Acosta's Kneepads,E,Exotic,Armor,Weapon Handling,Explosive Resistance,,Escape Plan,,
High End,Legatus S.P.A,A,Legatus S.P.A,Weapon Damage,A,A,,,,
Gearset,Virtuoso,S,Virtuoso,Weapon Damage,A,,,,,
High End,Shiny Monkey Gear,A,Shiny Monkey Gear,Skill Tier,A,A,,,,
Gearset,Refactor,S,Refactor,Armor,A,,,,,
Named,Grease,N,Shiny Monkey Gear,Skill Tier,Status Effects,A,,,,
Named,Snow Machine,N,Electrique,Skill Tier,A,A,,Flurry,snow_machine.png,
Named,Turmoil,N,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,Bewildered,turmoil.png,
High End,Imminence Armaments,A,Imminence Armaments,Weapon Damage,A,A,,,,
Named,Cloak,N,Imminence Armaments,Weapon Damage,Reduced Threat,A,,,,
Gearset,Measured Assembly,S,Measured Assembly,Skill Tier,A,,,,,
Gearset,Tipping Scales,S,Tipping Scales,Weapon Damage,A,,,,tipping_scales.png,
High End,Urban Lookout,A,Urban Lookout,Skill Tier,A,A,,,urban_lookout.png,
Exotic,Blacklisters,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Ostracize,blacklisters.png,player_gear_kneepads_exotic_04_icon
High End,Unit Alloys,A,Unit Alloys,Weapon Damage,A,A,,,unit_alloys.png,
Gearset,Concentrated Company,S,Concentrated Company,Weapon Damage,A,,,,concentrated_company.png,
High End,Royal Works,A,Royal Works,Armor,A,A,,,royal_works.png,
Gearset,Core Strength,S,Core Strength,Armor,A,,,,core_strength.png,
Exotic,Nurse’s Kneepads,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Impervious,nurses_kneepads.png,
High End,Edelweiss GPz,A,Edelweiss GPz,Skill Tier,A,A,,,edelweiss_gpz.png,
Gearset,Ortiz: Reficere,S,Ortiz: Reficere,Skill Tier,A,,,,ortiz_reficere.png,
