Skill Stat ID,Skill Variant Name,Display,Stat,Val,Unit,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Overcharge,Type,Stat Bonus,Snowflake
123,EMP Sticky Bomb,TRUE,Blast Radius,4m,m,2654490,67.00%,133.00%,200.00%,266.00%,333.00%,400.00%,500.00%,D,Shield Health,
124,EMP Sticky Bomb,TRUE,Burn Duration,8s,s,2654490,67.00%,133.00%,200.00%,266.00%,333.00%,400.00%,500.00%,D,Shield Health,
125,EMP Sticky Bomb,TRUE,Cooldown,30s,s,,,,,,,,,,Damage Bonus (Per Enemy),
126,EMP Sticky Bomb,TRUE,Damage,"1,659,056",,,,,,,,,,,Skill Damage,
127,EMP Sticky Bomb,TRUE,Disrupt Duration,15s,s,,,,,,,,,,Holstered Regeneration,
128,EMP Sticky Bomb,TRUE,Duration,8s,s,79635,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,500.00%,U,Active Regeneration,
129,Explosive Seeker Mine,TRUE,Blast Radius,4m,m,79635,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,500.00%,U,Active Regeneration,
13,Airburst Seeker Mine,FALSE,PvP Damage,"132,724",,30,,,,,,,,,Cooldown,
130,Explosive Seeker Mine,TRUE,Bleed Damage,"29,863",,,,,,,,,,,Deflector Damage,
131,Explosive Seeker Mine,TRUE,Bleed Duration,7s,s,2654490,67.00%,133.00%,200.00%,266.00%,333.00%,400.00%,500.00%,D,Shield Health,
132,Explosive Seeker Mine,TRUE,Cooldown,35s,s,20,,,,,,,,,Skill Haste,
133,Explosive Seeker Mine,TRUE,Damage,"1,061,796",,8,,,,,,,,,PvP Damage Taken Modifier,
134,Explosive Seeker Mine,TRUE,Health,"199,087 HP", HP,,,,,,,,,B,(Blank),
135,Explosive Seeker Mine,FALSE,PvP Bleed Damage,"7,465",,,,,,,,,,,Blast Radius,
136,Explosive Seeker Mine,FALSE,PvP Damage,"191,123",,60,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,500.00%,U,Skill Haste,
137,Explosive Sticky Bomb,TRUE,Blast Radius,3m,m,10,,,,,,,,U,Skill Duration,
138,Explosive Sticky Bomb,TRUE,Burn Duration,10s,s,,,,,,,,,,Blast Radius,
139,Explosive Sticky Bomb,TRUE,Cooldown,60s,s,4.5,35.00%,40.00%,60.00%,80.00%,100.00%,120.00%,200.00%,O,Burn Duration,
14,Airburst Seeker Mine,TRUE,Radius,6m,m,331811,,,,,,,,,Damage,
140,Explosive Sticky Bomb,TRUE,Damage,"1,327,245",,995434,,,,,,,,O,Damage,
141,Explosive Sticky Bomb,TRUE,Duration,10s,s,79635,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,,Burn Damage,
142,Explosive Sticky Bomb,FALSE,PvP Damage,"335,793",,218995,,,,,,,,O,Skill Damage,
143,Firestarter Chem Launcher,TRUE,Ammo,1,,,,,,,,,,B,(Blank),
144,Firestarter Chem Launcher,TRUE,Ammo Cooldown,30s,s,,,,,,,,,,Blind Effect Duration,
145,Firestarter Chem Launcher,TRUE,Burn Damage,"79,635",,663623,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,137.50%,O,Skill Damage,
146,Firestarter Chem Launcher,TRUE,Burn Duration,4s,s,30,,,,,,,,U,Skill Haste,
147,Firestarter Chem Launcher,FALSE,Burn Strength,,,1,35.00%,70.00%,105.00%,140.00%,175.00%,210.00%,250.00%,U,Speed,
148,Firestarter Chem Launcher,TRUE,Cloud Duration,20s,s,4,1,2,3,4,5,6,10,U,Max Targets,
149,Firestarter Chem Launcher,TRUE,Cloud Radius,3m,m,663623,,,,,,,,,Skill Health,
15,Artificer Hive,TRUE,Buff Amount,10%,%,0,,,,,,,,,Healing,
150,Firestarter Chem Launcher,TRUE,Damage,"265,449",,232267,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,137.50%,O,Damage,
151,Firestarter Chem Launcher,TRUE,Duration,20s,s,,,,,,,,,B,(Blank),
152,Firestarter Chem Launcher,FALSE,PVP Burn Damage,"12,741",,2,,,,,,,1,U,Radius,
153,Firestarter Chem Launcher,FALSE,PVP Damage,"106,179",,50,,,,,,,,U,Damage,
154,Fixer Drone,TRUE,Armor Repair,,,729985,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,80.00%,O,Skill Damage,
155,Fixer Drone,TRUE,Cooldown,25s,s,50,,,,,,,,U,Skill Haste,
156,Fixer Drone,TRUE,Damage Reduction,,,,,,,,,,,,Damage,
157,Fixer Drone,TRUE,Duration,180s,s,,,,,,,,,,Healing,
158,Fixer Drone,TRUE,Healing,"17,918 HP/s", HP/s,,,,,,,,,,Healing,
159,Fixer Drone,TRUE,Health,"1,061,796 HP", HP,199087,,,,,,,,U,Skill Health,
16,Artificer Hive,TRUE,Buff Duration,10s,s,0,,,,,,,,,Healing,
160,Fixer Drone,FALSE,PvP Healing,"8,958 HP/s", HP/s,199087,,,,,,,,U,Skill Health,
161,Holographic Distraction Decoy,TRUE,Cooldown,25s,s,3,1,2,3,4,5,6,8,U,Cluster Mines,
162,Holographic Distraction Decoy,TRUE,Duration,15s,s,131397,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,80.00%,O,Skill Damage,
163,Holographic Distraction Decoy,TRUE,Health,"929,072 HP", HP,,,,,,,,,B,(Blank),
164,Holographic Distraction Decoy,TRUE,Threat,100%,%,,,,,,,,,,Damage Bonus (Per Enemy),
165,Incinerator Turret,TRUE,Burn Damage,"53,090",,,,,,,,,,,Deflector Damage,
166,Incinerator Turret,TRUE,Burn Duration,4s,s,66362,5.00%,10.00%,15.00%,20.00%,25.00%,40.00%,40.00%,U,Holstered Regeneration,
167,Incinerator Turret,TRUE,Cooldown,60s,s,1327245,40.00%,66.00%,100.00%,150.00%,200.00%,250.00%,250.00%,D,Shield Health,
168,Incinerator Turret,TRUE,Damage,"13,272",,1327245,40.00%,66.00%,100.00%,150.00%,200.00%,250.00%,250.00%,D,Shield Health,
169,Incinerator Turret,TRUE,Duration,15s,s,,,,,,,,,,Damage Bonus (Per Enemy),
17,Artificer Hive,TRUE,Charges,8,,0,,,,,,,,,Cluster Mines,
170,Incinerator Turret,TRUE,Health,"1,061,796 HP", HP,,,,,,,,,,Deflector Damage,
171,Incinerator Turret,FALSE,PvP Burn Damage,"8,494",,66362,5.00%,10.00%,15.00%,20.00%,25.00%,40.00%,40.00%,U,Holstered Regeneration,
172,Incinerator Turret,FALSE,PvP Damage,"10,617",,39817,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,500.00%,U,Active Regeneration,
173,Incinerator Turret,TRUE,Range,15m,m,39817,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,500.00%,U,Active Regeneration,
174,Incinerator Turret,TRUE,Rotation Angle,90°,°,,,,,,,,,,Deflector Damage,
175,Jammer Pulse,TRUE,Charging Time,2s,s,1327245,40.00%,66.00%,100.00%,150.00%,200.00%,250.00%,250.00%,D,Shield Health,
176,Jammer Pulse,TRUE,Cooldown,30s,s,20,,,,,,,,,Skill Haste,
177,Jammer Pulse,TRUE,EMP Damage to Electronics,"1,858,143",,8,,,,,,,,,PvP Damage Taken Modifier,
178,Jammer Pulse,TRUE,EMP Effect Duration,3s,s,,,,,,,,,B,(Blank),
179,Jammer Pulse,TRUE,Health,,,,,,,,,,,,Deflect Duration,
18,Artificer Hive,TRUE,Duration,180s,s,199087,,,,,,,,U,Skill Health,
180,Jammer Pulse,TRUE,Radius,20m,m,20,,,,,,,,U,Skill Duration,
181,Mender Seeker Mine,TRUE,Cloud Duration,8s,s,20,,,,,,,,U,Skill Duration,
182,Mender Seeker Mine,TRUE,Cooldown,25s,s,,,,,,,,,,Armor Repair,
183,Mender Seeker Mine,TRUE,Duration,180s,s,0.2,5.00%,10.00%,15.00%,20.00%,25.00%,30.00%,60.00%,D,Damage Reduction,
184,Mender Seeker Mine,TRUE,Healing,"17,918 HP/s", HP/s,,,,,,,,,,Damage Reduction,
185,Mender Seeker Mine,TRUE,Health,"199,087",,,,,,,,,,,Extra Bombs,
186,Mender Seeker Mine,FALSE,PvP Healing,"8,958 HP/s", HP/s,1061796,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,560.00%,U,Skill Health,
187,Mender Seeker Mine,TRUE,Radius,3m,m,,,,,,,,,,Scan Range,
188,Oxidizer Chem Launcher,TRUE,Ammo,1,,,,,,,,,,,Scan Range,
189,Oxidizer Chem Launcher,TRUE,Ammo Cooldown,25s,s,20,,,,,,,,,Skill Haste,
19,Artificer Hive,TRUE,Health,"796,347 HP", HP,199087,,,,,,,,U,Skill Health,
190,Oxidizer Chem Launcher,TRUE,Cloud Radius,3.5m,m,0.1,5.00%,10.00%,15.00%,20.00%,25.00%,30.00%,60.00%,D,Damage Reduction,
191,Oxidizer Chem Launcher,TRUE,Damage,"53,090",,,,,,,,,,B,(Blank),
192,Oxidizer Chem Launcher,TRUE,Duration,5s,s,,,,,,,,,,Deflector Damage,
193,Oxidizer Chem Launcher,FALSE,PvP Damage,"18,581",,106180,5.00%,10.00%,15.00%,20.00%,25.00%,40.00%,40.00%,U,Holstered Regeneration,
194,Reinforcer Chem Launcher,TRUE,Ammo,2,,,,,,,,,,,Holstered Regeneration,
195,Reinforcer Chem Launcher,TRUE,Cloud Radius,3m,m,2123592,40.00%,66.00%,100.00%,150.00%,200.00%,250.00%,250.00%,D,Shield Health,
196,Reinforcer Chem Launcher,TRUE,Duration,5s,s,2123592,40.00%,66.00%,100.00%,150.00%,200.00%,250.00%,250.00%,D,Shield Health,
197,Reinforcer Chem Launcher,TRUE,Heal,"199,087 HP", HP,,,,,,,,,,Damage Bonus (Per Enemy),
198,Reinforcer Chem Launcher,FALSE,PvP Ally Repair,"99,543 HP", HP,,,,,,,,,,Deflector Damage,
199,Reinforcer Chem Launcher,FALSE,PvP Repair Over Time,"19,908 HP", HP,,,,,,,,,,Holstered Regeneration,
2,Achilles Pulse,TRUE,Cooldown,40s,s,20,,,,,,,,,Radius,
20,Artificer Hive,TRUE,Range,8m,m,79635,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Burn Damage,
200,Reinforcer Chem Launcher,TRUE,Repair Over Time,"39,817 HP", HP,63708,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,U,Active Regeneration,
201,Reinforcer Chem Launcher,TRUE,Skill Haste,30s,s,63708,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,U,Active Regeneration,
202,Remote Pulse,TRUE,Cooldown,19s,s,,,,,,,,,,Deflector Damage,
203,Remote Pulse,TRUE,Duration,45s,s,,,,,,,,,,Shield Health,
204,Remote Pulse,TRUE,Effect Radius,15m,m,80465,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Deflector Damage,
205,Remote Pulse,TRUE,Health,,,20,,,,,,,,,Skill Haste,
206,Remote Pulse,TRUE,Pulse Interval,8s,s,8,,,,,,,,,PvP Damage Taken Modifier,
207,Repair Trap,TRUE,Cooldown,40s,s,,,,,,,,,B,(Blank),
208,Repair Trap,TRUE,Duration,60s,s,,,,,,,,,,Blind Effect Duration,
209,Repair Trap,FALSE,PvP Repair,"82,953",,1659056,35.00%,70.00%,105.00%,140.00%,175.00%,210.00%,300.00%,O,Skill Damage,
21,Artificer Hive,TRUE,Refill Speed,11.3s,s,4,50.00%,100.00%,150.00%,200.00%,250.00%,300.00%,400.00%,,Burn Duration,
210,Repair Trap,TRUE,Repair,"165,905 HP", HP,50,,,,,,,,U,Skill Haste,
211,Repair Trap,TRUE,Repair Radius,0.75m,m,1,35.00%,70.00%,105.00%,140.00%,175.00%,210.00%,250.00%,U,Speed,
212,Repair Trap,TRUE,Traps,2,,3,1,2,3,4,5,6,10,U,Max Targets,
213,Restorer Hive,TRUE,Duration,180s,s,663623,,,,,,,,,Skill Health,
214,Restorer Hive,TRUE,Healing,"59,726 HP", HP,3318112,35.00%,70.00%,105.00%,140.00%,175.00%,210.00%,300.00%,O,Skill Damage,
215,Restorer Hive,TRUE,Health,"796,347 HP", HP,,,,,,,,,B,(Blank),
216,Restorer Hive,FALSE,PvP Healing,"36,433 HP", HP,4,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,150.00%,U,Blast Radius,
217,Restorer Hive,TRUE,Range,8m,m,30,,,,,,,,U,Skill Haste,
218,Restorer Hive,TRUE,Refill Speed,12s,s,8,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Refill Speed,
219,Restorer Hive,TRUE,Repair Charges,8,,4,,,,,,,,,Charges,
22,Artificer Hive,TRUE,Skill Refresh,3s,s,11945,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Burn Damage,
220,Reviver Hive,TRUE,Charges,1,,8,,,,,,,,,Burn Duration,
221,Reviver Hive,TRUE,Duration,180s,s,1659056,0,0,0,0,0,0,0,O,Damage,
222,Reviver Hive,TRUE,Health,"796,347 HP", HP,15,,,,,,,,,Disrupt Duration,
223,Reviver Hive,TRUE,Range,8m,m,,,,,,,,,B,(Blank),
224,Reviver Hive,TRUE,Refill Speed,180s,s,4,5.00%,10.00%,15.00%,20.00%,25.00%,30.00%,200.00%,U,Radius,
225,Reviver Hive,TRUE,Revive Armor,25%,%,35,,,,,,,,U,Skill Haste,
226,Reviver Hive,TRUE,Stim Efficiency,,,1061796,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,80.00%,O,Skill Damage,
227,Riot Foam Chem Launcher,TRUE,Ammo,1,,35,,,,,,,,U,Skill Haste,
228,Riot Foam Chem Launcher,TRUE,Ammo Cooldown,30s,s,,,,,,,,,,Damage,
229,Riot Foam Chem Launcher,TRUE,Cloud Radius,3m,m,,,,,,,,,,Healing,
23,Artificer Hive,TRUE,Skill Repair,10%,%,132724,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Skill Damage,
230,Riot Foam Chem Launcher,TRUE,Damage,,,,,,,,,,,,Healing,
231,Riot Foam Chem Launcher,TRUE,Duration,6s,s,,,,,,,,,,Cluster Mines,
232,Riot Foam Chem Launcher,TRUE,Ensnare Duration,6s,s,199087,,,,,,,,U,Skill Health,
233,Riot Foam Chem Launcher,TRUE,Ensnare Health,"452,470 HP", HP,199087,,,,,,,,U,Skill Health,
234,Riot Foam Chem Launcher,FALSE,PvP Ensnare Duration,3s,s,29863,,,,,,,,O,Bleed Damage,
235,Scanner Pulse,TRUE,Conflict Cooldown,120s,s,7,,,,,,,,,Bleed Duration,
236,Scanner Pulse,TRUE,Cooldown,20s,s,7465,,,,,,,,O,PvP Bleed Damage,
237,Scanner Pulse,TRUE,Effect Duration,8s,s,191123,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,80.00%,O,Skill Damage,
238,Scanner Pulse,TRUE,Effect Radius,100m,m,,,,,,,,,B,(Blank),
239,Shock Trap,TRUE,Cooldown,60s,s,3,20.00%,30.00%,40.00%,50.00%,60.00%,70.00%,200.00%,U,Blast Radius,
24,Artificer Hive,TRUE,Stim Charges,0,,,,,,,,,,B,(Blank),
240,Shock Trap,TRUE,Duration,60s,s,60,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,100.00%,U,Skill Haste,
241,Shock Trap,FALSE,PvP Shock Effect Duration,1.5s,s,10,,,,,,,,U,Skill Duration,
242,Shock Trap,TRUE,Shock Duration,3s,s,3,,,,,,,,,Blast Radius,
243,Shock Trap,TRUE,Shock Radius,2.5m,m,10,,,,,,,,,Burn Duration,
244,Shock Trap,TRUE,Traps,6,,1327245,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,80.00%,O,Skill Damage,
245,Shrapnel Trap,TRUE,Cooldown,60s,s,335793,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,80.00%,O,Skill Damage,
246,Shrapnel Trap,TRUE,Damage,"663,623",,,,,,,,,,B,(Blank),
247,Shrapnel Trap,TRUE,Duration,60s,s,,,,,,,,,,Burn Strength,
248,Shrapnel Trap,TRUE,Explosion Radius,2m,m,265449,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Skill Damage,
249,Shrapnel Trap,FALSE,PvP Damage,"165,905",,,,,,,,,,,Ensnare Duration,
25,Artificer Hive,TRUE,Stim Efficiency,0,,0,,,,,,,,,Damage,
250,Shrapnel Trap,TRUE,Traps,9,,,,,,,,,,,Ensnare Health,
251,Sniper Turret,TRUE,Ammo,3,,,,,,,,,,,Heal,
252,Sniper Turret,TRUE,Cooldown,20s,s,1,1,2,3,4,5,6,6,O,Ammo,
253,Sniper Turret,TRUE,Damage,"729,985",,30,,,,,,,,U,Skill Haste,
254,Sniper Turret,TRUE,Duration,300s,s,3,5.00%,10.00%,15.00%,20.00%,25.00%,30.00%,135.00%,U,Radius,
255,Sniper Turret,TRUE,Firing Interval,4s,s,20,,,,,,,,U,Skill Duration,
256,Sniper Turret,TRUE,Health,"1,061,796 HP", HP,79635,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Burn Damage,
257,Sniper Turret,FALSE,PvP Damage,"233,595",,4,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,,Burn Duration,
258,Stinger Hive,TRUE,Bleed Damage,"29,863",,20,,,,,,,,U,Bleed Damage,
259,Stinger Hive,TRUE,Bleed Duration,7s,s,12741,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Burn Damage,
26,Artillery Turret,TRUE,Ammo,3,,0,,,,,,,,,Healing,
260,Stinger Hive,TRUE,Damage,"265,449",,106179,,,,,,,,O,Damage,
261,Stinger Hive,TRUE,Duration,180s,s,,,,,,,,,B,(Blank),
262,Stinger Hive,TRUE,Health,"796,347 HP", HP,,,,,,,,,,Deflect Duration,
263,Stinger Hive,FALSE,PvP Bleed Damage,"7,465",,180,,,,,,,,U,Bleed Damage,
264,Stinger Hive,FALSE,PvP Damage,"63,707",,180,,,,,,,,U,Damage,
265,Stinger Hive,TRUE,Range,8m,m,,,,,,,,,,Armor Repair,
266,Stinger Hive,TRUE,Refill Speed,10s,s,,,,,,,,,,Refill Speed,
267,Stinger Hive,TRUE,Stinger Charges,8,,,,,,,,,,,Charges,
268,Striker Ballistic Shield,TRUE,Active Regeneration,"39,817 HP/s", HP/s,,,,,,,,,,Extra Bombs,
269,Striker Ballistic Shield,TRUE,Buff Angle,45°,°,1061796,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,500.00%,U,Skill Health,
27,Artillery Turret,TRUE,Blast Radius,4.5m,m,0,,,,,,,,,Reviver Armor Repair,
270,Striker Ballistic Shield,TRUE,Buff Range,10m,m,,,,,,,,,,Scan Range,
271,Striker Ballistic Shield,TRUE,Cooldown,20s,s,,,,,,,,,,Scan Range,
272,Striker Ballistic Shield,TRUE,Damage Bonus (Per Enemy),5%,%,25,,,,,,,,,Skill Haste,
273,Striker Ballistic Shield,TRUE,Holstered Regeneration,"66,362 HP/s", HP/s,17918,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,175.00%,D,Armor Repair,
274,Striker Ballistic Shield,FALSE,PvP Damage Taken Modifier,8,,8958,20.00%,40.00%,60.00%,80.00%,100.00%,120.00%,175.00%,D,Armor Repair,
275,Striker Ballistic Shield,TRUE,Shield Health,"1,327,245 HP", HP,,,,,,,,,B,(Blank),
276,Striker Drone,TRUE,Cooldown,25s,s,929072,50.00%,100.00%,150.00%,200.00%,250.00%,300.00%,600.00%,U,Skill Health,
277,Striker Drone,TRUE,Damage,"16,591",,15,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,90.00%,U,Skill Duration,
278,Striker Drone,TRUE,Duration,180s,s,25,,,,,,,2,,Skill Haste,
279,Striker Drone,TRUE,Health,"530,898 HP", HP,1,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,560.00%,,Threat,
28,Artillery Turret,TRUE,Bleed Damage,"29,863",,0,,,,,,,,,Stim Efficiency,
280,Striker Drone,FALSE,PvP Damage,"3,318",,,,,,,,,,B,(Blank),
281,Tactician Drone,TRUE,Cooldown,20s,s,53090,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Burn Strength,
282,Tactician Drone,TRUE,Duration,300s,s,13272,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Skill Damage,
283,Tactician Drone,TRUE,Health,"1,061,796 HP", HP,13272,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Skill Damage,
284,Tactician Drone,TRUE,Scan Range,50m,m,15,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Skill Duration,
285,Precision Smart Cover,TRUE,Radius,6,,25,,,,,,,,,Radius,
286,Precision Smart Cover,TRUE,Weapon Handling,6,,25,,,,,,,,,Weapon Handling,
287,Precision Smart Cover,TRUE,Damage to Targets Out of Cover,6,,25,,,,,,,,,Damage to TOC,
288,Precision Smart Cover,TRUE,Health,6,,25,,,,,,,,,Health,
289,Fortified Smart Cover,TRUE,Radius,6,,25,,,,,,,,,Radius,
29,Artillery Turret,TRUE,Bleed Duration,7s,s,8,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,200.00%,U,Range,
290,Fortified Smart Cover,TRUE,Bonus Armor,6,,25,,,,,,,,,Bonus Armor,
291,Fortified Smart Cover,TRUE,Explosive Resistance,6,,25,,,,,,,,,Explosive Resistance,
292,Fortified Smart Cover,TRUE,Pulse Resistance,6,,25,,,,,,,,,Pulse Resistance,
293,Fortified Smart Cover,TRUE,Health,6,,25,,,,,,,,,Health,
3,Achilles Pulse,TRUE,Effect Duration,10s,s,20,,,,,,,,,Radius,
30,Artillery Turret,TRUE,Cooldown,20s,s,,,,,,,,,,Range,
31,Artillery Turret,TRUE,Damage,"729,985",,0,,,,,,,,,Repair Charges,
32,Artillery Turret,TRUE,Duration,300s,s,0,,,,,,,,,Stim Charges,
33,Artillery Turret,TRUE,Health,"1,061,796 HP", HP,0,,,,,,,,,Stinger Charges,
34,Artillery Turret,FALSE,PvP Bleed Damage,"7,465",,180,,,,,,,,U,Skill Duration,
35,Artillery Turret,FALSE,PvP Damage,"182,496",,180,,,,,,,,U,Skill Duration,
36,Assault Turret,TRUE,Cooldown,25s,s,796347,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,420.00%,U,Skill Health,
37,Assault Turret,TRUE,Damage,"26,545",,0.1,1,2,3,4,5,6,7,,Charge Efficiency,
38,Assault Turret,TRUE,Duration,180s,s,10,,,,,,,,,Buff Duration,
39,Assault Turret,TRUE,Health,"1,061,796 HP", HP,8,4,8,12,16,20,24,24,,Charges,
4,Achilles Pulse,TRUE,Health,"398,174 HP", HP,40,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Skill Haste,
40,Assault Turret,FALSE,PvP Damage,"6,636",,11.3,,,,,,,1.5,,Skill Haste,
41,Banshee Pulse,TRUE,Charge Speed,5.5s,s,3,2,4,6,8,10,12,22,,Skill Refresh,
42,Banshee Pulse,TRUE,Cone Angle,20°,°,0.1,,,,,,,,,Skill Repair,
43,Banshee Pulse,TRUE,Cooldown,30s,s,,,,,,,,,B,(Blank),
44,Banshee Pulse,TRUE,Duration,10s,s,0,,,,,,,,,Burn Damage,
45,Banshee Pulse,TRUE,Effect Duration,4s,s,729985,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,137.50%,O,Skill Damage,
46,Banshee Pulse,TRUE,Health,,,729985,15.00%,30.00%,45.00%,60.00%,75.00%,90.00%,137.50%,O,Skill Damage,
47,Banshee Pulse,TRUE,Radius,30m,m,3,1,2,3,4,5,6,10,,Extra Mortar Ammo,
48,Blinder Firefly,TRUE,Blind Duration,5s,s,3,1,2,3,4,5,6,10,,Extra Sniper Ammo,
49,Blinder Firefly,TRUE,Cooldown,50s,s,300,,,,,,,,U,Skill Duration,
5,Achilles Pulse,TRUE,Number of Zones,1,,10,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,U,Effect Duration,
50,Blinder Firefly,TRUE,Health,"663,623 HP", HP,1061796,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,560.00%,U,Skill Health,
51,Blinder Firefly,TRUE,Max Targets,3,,20,,,,,,,,U,Skill Haste,
52,Blinder Firefly,FALSE,PvP Blind Duration,2s,s,300,,,,,,,,U,Skill Duration,
