Variant,Name,Slot,Quality,Weapon Type,Base Damage,Optimal Range,RPM,Mag Size,Reload Speed (ms),HSD,Core 1,Core 1 Max,Core 2,Core 2 Max,Attribute 1,Talent,Optics,Under Barrel,Magazine,Muzzle,Icon,Icon Ref
P416,Custom P416 G3,P,High End,Assault Rifle,47364.5,26,850,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,p416.png,w_ar_pof_p416_t1
P416,Military P416,P,High End,Assault Rifle,47364.5,26,850,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,p416.png,w_ar_pof_p416_t1
Honey Badger,Honey Badger,P,High End,Assault Rifle,51271,28,800,30,2060,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,,honey_badger.png,w_ar_q_honey_badger_t1
SCAR,Mk16,P,High End,Assault Rifle,59221,31,650,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,scar.png,w_ar_fnscar-l_t1
SCAR,SOCOM Mk16,P,High End,Assault Rifle,59221,31,650,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,scar.png,w_ar_fnscar-l_t1
SCAR,Tactical Mk 16,P,High End,Assault Rifle,59221,31,650,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,scar.png,w_ar_fnscar-l_t1
SCAR,Tactical Mk 16 Replica,P,High End,Assault Rifle,59221,31,650,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,scar.png,w_ar_fnscar-l_t1
TAR-21,CTAR-21,P,High End,Assault Rifle,44802,32,900,30,2390,55,Assault Rifle Damage,15,Health Damage,21,A,A,Micro / Neutral / Short,Side,5.56,5.56,tar_21.png,w_ar_tar21_t1
AK-47,Manic,P,Named,Assault Rifle,64716.5,27,600,30,2300,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Overflowing,Neutral / Short / Long,Side / Short / Long,8.02,8.02,ak47.png,w_ar_ak47_t1
AUG,Invisible Hand,P,Named,Assault Rifle,57218,26,782,42,2160,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Allegro,Neutral / Short / Long / Ironsights,Side / Short,5.56,5.56,aug.png,w_ar_aug_t1
F2000,Shield Splinterer,P,Named,Assault Rifle,49104,31,850,30,2400,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Optimist,Neutral / Short / Long / Ironsights,,5.56,5.56,f2000.png,w_ar_f2000_t1
FAMAS,Burn Out,P,Named,Assault Rifle,45272.5,26,900,30,2490,55,Assault Rifle Damage,15,Health Damage,21,A,Perfectly On Empty,Neutral / Short / Long,Side / Short,5.56,5.56,famas.png,w_ar_famas_t1
M4,Pyromaniac,P,Named,Assault Rifle,46917.5,31,850,30,2240,55,Assault Rifle Damage,15,Health Damage,21,A,Perfectly Ignited,Neutral / Short / Long,Side / Short / Long,5.56,5.56,m4.png,w_ar_m4_t1
P416,Glory Daze,P,Named,Assault Rifle,47364.5,17,850,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,Perfect Near Sighted,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,glory_daze.png,w_ar_pof_p416_t2
Honey Badger,Savage Wolverine,P,Named,Assault Rifle,51271,28,800,30,2060,55,Assault Rifle Damage,15,Health Damage,21,A,Perfectly Close & Personal,Neutral / Short / Long,Side / Short / Long,5.56,,savage_wolverine.png,w_ar_q_honey_badger_t1
TAR-21,The Railsplitter,P,Named,Assault Rifle,44802,32,900,30,2390,55,Assault Rifle Damage,15,Health Damage,21,A,Perfectly Accurate,Micro / Neutral / Short,Side,5.56,5.56,tar_21.png,w_ar_tar21_t1
NEGEV,Bullet King,P,Exotic,LMG,54604,40,850,100,4760,65,LMG Damage,15,Damage to TOC,12,Critical Hit Damage,Bullet Hell,,Bullet King,Bullet King,Bullet King,bullet-king.png,w_lmg_iwi_negev_exotic_t1
M249,Pestilence,P,Exotic,LMG,48300,35,935,100,4540,65,LMG Damage,15,Damage to TOC,12,Critical Hit Chance,Plague of the Outcasts,,Pestilence,Pestilence,Pestilence,pestilence.png,w_lmg_exoticlmg_t1
L86,Custom L86 A2,P,High End,LMG,61096.5,30,700,30,3180,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,custom_l86_a2.png,w_lmg_sa80_t1
L86,Custom L86 A2 Replica,P,High End,LMG,61096.5,30,700,30,3180,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,custom_l86_a2.png,w_lmg_sa80_t1
L86,Military L86 LSW,P,High End,LMG,61096.5,30,700,30,3180,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short,5.56,5.56,custom_l86_a2.png,w_lmg_sa80_t1
M249,M249 B,P,High End,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M249,Military MK46,P,High End,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M249,Military MK46 Replica,P,High End,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M249,Tactical M249 Para,P,High End,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M60,Black Market M60 E6,P,High End,LMG,65233.5,40,600,100,3850,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,8.02,m60.png,w_lmg_m60_t1
M60,Black Market M60 E6 Replica,P,High End,LMG,65233.5,40,600,100,3850,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,8.02,m60.png,w_lmg_m60_t1
M60,Classic M60,P,High End,LMG,67711,40,600,100,3750,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,,m60.png,w_lmg_m60_t1
M60,Classic M60 Replica,P,High End,LMG,67711,40,600,100,3750,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,,m60.png,w_lmg_m60_t1
M60,Military M60 E4,P,High End,LMG,65233.5,40,600,100,3850,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,8.02,m60.png,w_lmg_m60_t1
MG5,Infantry MG5,P,High End,LMG,52333.5,35,800,50,3010,85,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short,Ammunition Belt,8.02,infantry_mg5.png,w_lmg_hk121_t1
MG5,Infantry MG5 Replica,P,High End,LMG,52333.5,35,800,50,3010,85,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short,Ammunition Belt,8.02,infantry_mg5.png,w_lmg_hk121_t1
MG5,MG5,P,High End,LMG,54322,35,800,50,2960,85,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short,Ammunition Belt,,mg5.png,w_lmg_hk121_t1
RPK-74,Black Market RPK-74 E,P,High End,LMG,71538,30,600,40,4000,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,rpk_74.png,w_lmg_rpk_t1
RPK-74,Black Market RPK-74 E Replica,P,High End,LMG,71538,30,600,40,4000,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,rpk_74.png,w_lmg_rpk_t1
RPK-74,Classic RPK-74,P,High End,LMG,71538,30,600,40,4000,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,rpk_74.png,w_lmg_rpk_t1
RPK-74,Military RPK-74 M,P,High End,LMG,71538,30,600,40,4000,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,rpk_74.png,w_lmg_rpk_t1
NEGEV,IWI NEGEV,P,High End,LMG,54604,40,750,100,4000,65,LMG Damage,15,Damage to TOC,12,A,A,Micro / Neutral / Short,Side / Short / Long,Ammunition Belt,8.02,negev.png,w_lmg_iwi_negev_t1
KAC,Stoner LAMG,P,High End,LMG,62361,40,580,200,3000,65,LMG Damage,15,Damage to TOC,12,A,A,Neutral / Short / Long,Side / Short,Ammunition Belt,QDC,kac.png,w_lmg_kac_lamg_t1
L86,Tabula Rasa,P,Named,LMG,61096.5,30,700,30,3180,65,LMG Damage,15,Damage to TOC,12,A,Perfectly Steady Handed,Neutral / Short / Long,Side / Short,5.56,5.56,tabula_rasa.png,w_lmg_sa80_t2
M249,Black Friday,P,Named,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,Perfectly Unhinged,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M249,The Stinger,P,Named,LMG,48300,35,850,100,4540,65,LMG Damage,15,Damage to TOC,12,A,Swift,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,5.56,m249.png,w_lmg_m249_t1
M60,Good Times,P,Named,LMG,65234,40,600,100,3850,65,LMG Damage,15,Damage to TOC,12,A,Perfect Fast Hands,Neutral / Short / Long,Side / Short / Long,Ammunition Belt,8.02,m60.png,w_lmg_m60_t1
MG5,Sleipnir,P,Named,LMG,54322,35,800,50,2960,85,LMG Damage,15,Damage to TOC,12,A,Perfect Frenzy,Neutral / Short / Long,Side / Short,Ammunition Belt,,sleipnir.png,w_lmg_hk121_t1
RPK-74,New Reliable,P,Named,LMG,71538,30,600,40,2860,65,LMG Damage,15,Damage to TOC,12,A,Perfectly Optimized,Neutral / Short / Long,Side / Short / Long,8.02,8.02,rpk_74.png,w_lmg_rpk_t1
NEGEV,Carnage,P,Named,LMG,54604,40,750,100,4000,65,LMG Damage,15,Damage to TOC,12,A,Perfect Sadist,Micro / Neutral / Short,Side / Short / Long,Ammunition Belt,8.02,negev.png,w_lmg_iwi_negev_t1
KAC,Quiet Roar,P,Named,LMG,62361,40,580,200,3000,65,LMG Damage,15,Damage to TOC,12,A,Perfect Overwhelm,Neutral / Short / Long,Side / Short,Ammunition Belt,QDC,kac.png,w_lmg_kac_lamg_t1
AWM,Nemesis,P,Exotic,Marksman Rifle,940240,60,50,5,2780,0,Marksman Rifle Damage,15,Headshot Damage,111,Critical Hit Chance,Electromagnetic Accelerator,Nemesis,Nemesis,Nemesis,Nemesis,nemesis.png,w_mr_exotic_sniper_rifle_t1
M44,Classic M44 Carbine,P,High End,Marksman Rifle,433563.5,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short,Integrated,,classic_m44.png,w_mr_mosinnagant_t1
M44,Classic M44 Carbine Replica,P,High End,Marksman Rifle,433563.5,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short,Integrated,,classic_m44.png,w_mr_mosinnagant_t1
M44,Custom M44,P,High End,Marksman Rifle,417692,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,classic_m44.png,w_mr_mosinnagant_t1
M44,Custom M44 Replica,P,High End,Marksman Rifle,417692,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,classic_m44.png,w_mr_mosinnagant_t1
M44,Hunting M44,P,High End,Marksman Rifle,428664,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,Integrated,8.02,classic_m44.png,w_mr_mosinnagant_t1
Model 700,M700 Carbon,P,High End,Marksman Rifle,412516,50,55,7,3980,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,model_700.png,w_mr_m24_t1
Model 700,M700 Carbon Replica,P,High End,Marksman Rifle,412516,50,55,7,3960,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,MM 7.62,8.02,model_700.png,w_mr_m24_t1
Model 700,M700 Tactical,P,High End,Marksman Rifle,412516,50,55,7,3980,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side,MM 7.62,8.02,model_700.png,w_mr_m24_t1
Model 700,Model 700,P,High End,Marksman Rifle,441569.5,50,55,7,7050,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,,Integrated,8.02,model_700.png,w_mr_m24_t1
Model 700,Model 700 Replica,P,High End,Marksman Rifle,441569.5,50,55,7,7050,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,,Integrated,8.02,model_700.png,w_mr_m24_t1
SCAR,SOCOM Mk20 SSR,P,High End,Marksman Rifle,145850,55,275,20,4990,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,8.02,8.02,socom_mk20_ssr.png,w_mr_fnscar-h_t3
SCAR,SOCOM Mk20 SSR Replica,P,High End,Marksman Rifle,145850,55,275,20,4990,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,8.02,8.02,socom_mk20_ssr.png,w_mr_fnscar-h_t3
SR-1,Adrestia,P,High End,Marksman Rifle,409357,50,60,5,3150,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short,MM 7.62,8.02,sr_1.png,w_mr_dsr_1_t1
SR-1,SR-1,P,High End,Marksman Rifle,409357,50,60,5,3150,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short,MM 7.62,8.02,sr_1.png,w_mr_dsr_1_t1
SR-1,SR-1 Replica,P,High End,Marksman Rifle,409357,50,60,5,3150,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short,MM 7.62,8.02,sr_1.png,w_mr_dsr_1_t1
G28,G28,P,High End,Marksman Rifle,206425,50,180,20,3600,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,g28.png,w_mr_hk_g28_t1
SRS,Covert SRS,P,High End,Marksman Rifle,409357,60,60,7,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short,MM 7.62,8.02,srs_1.png,w_mr_srs_t1
SRS,SRS A1,P,High End,Marksman Rifle,409357,60,60,7,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,MM 7.62,8.02,srs_1.png,w_mr_srs_t1
SRS,SRS A1 Replica,P,High End,Marksman Rifle,409357,60,60,7,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,MM 7.62,8.02,srs_1.png,w_mr_srs_t1
SVD,Paratrooper SVD,P,High End,Marksman Rifle,156662.5,50,260,10,2850,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short,MM 7.62,8.02,svd.png,w_mr_svd_t1
SVD,Surplus SVD,P,High End,Marksman Rifle,156662.5,50,260,10,2850,0,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Neutral / Short / Long,Side / Short,MM 7.62,8.02,svd.png,w_mr_svd_t1
M44,The White Death,P,Named,Marksman Rifle,433563.5,50,55,5,4290,0,Marksman Rifle Damage,15,Headshot Damage,137,A,A,Neutral / Short / Long,Side / Short,Integrated,,classic_m44.png,w_mr_mosinnagant_t1
Model 700,Ekim's Long Stick,P,Named,Marksman Rifle,441569.5,50,55,7,7050,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Ranger,Neutral / Short / Long,,Integrated,8.02,model_700.png,w_mr_m24_t1
SCAR,The Darkness,P,Named,Marksman Rifle,145850,55,275,20,4990,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Eyeless,Neutral / Short / Long / Ironsights,Side / Short / Long,8.02,8.02,the_darkness.png,w_mr_fnscar-h_t3
SR-1,Designated Hitter,P,Named,Marksman Rifle,409357,50,60,5,3150,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Reformation,Neutral / Short / Long / Ironsights,Side / Short,MM 7.62,8.02,sr_1.png,w_mr_dsr_1_t1
SRS,Pinprick,P,Named,Marksman Rifle,409357,60,60,7,4290,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect First Blood,Neutral / Short / Long / Ironsights,Side / Short,MM 7.62,8.02,srs_1.png,w_mr_srs_t1
SVD,Commando,P,Named,Marksman Rifle,156662.5,50,260,10,2850,0,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfectly Naked,Neutral / Short / Long,Side / Short,MM 7.62,8.02,svd.png,w_mr_svd_t1
Desert Eagle,Liberty,S,Exotic,Pistol,189171.5,18,230,8,1950,100,Pistol Damage,15,,,Damage to TOC,Liberty or Death,Liberty,Liberty,Liberty,Liberty,liberty.png,w_p_exoticpistol_t1
Magnum,Regulus,S,Exotic,Pistol,282072,16,160,6,2310,100,Pistol Damage,15,,,Headshot Damage,Regicide,,,Regulus,Regulus,regulus.png,w_p_swrevolver_exotic_t1
Magnum,586 Magnum,S,High End,Pistol,233278,16,160,6,2540,100,Pistol Damage,15,,,A,A,Micro / Neutral / Short,,Revolver Drum,,magnum.png,w_p_s&w586_t1
Magnum,Police 686 Magnum,S,High End,Pistol,233278,16,160,6,2540,100,Pistol Damage,15,,,A,A,Micro / Neutral / Short,,Revolver Drum,,magnum.png,w_p_s&w586_t1
Magnum,Police 686 Magnum Replica,S,High End,Pistol,233278,16,160,6,2540,100,Pistol Damage,15,,,A,A,Micro / Neutral / Short,,Revolver Drum,,magnum.png,w_p_s&w586_t1
93R,93R,S,High End,Pistol,52977.5,12,700,20,1710,100,Pistol Damage,15,,,A,A,,,Pistol,9mm,93r.png,w_p_93r_t1
Desert Eagle,D50,S,High End,Pistol,189171.5,18,200,8,2240,100,Pistol Damage,15,,,A,A,Micro / Neutral / Short,,,,desert_eagle.png,w_p_desert_eagle_t1
M1911,M1911,S,High End,Pistol,129884.5,12,310,7,2240,100,Pistol Damage,15,,,A,A,,,Pistol,,m1911.png,w_p_m1911_t1
M1911,M45A1,S,High End,Pistol,117435.5,12,310,7,2330,100,Pistol Damage,15,,,A,A,Micro / Neutral,Gadget,Pistol,.45 ACP,m1911.png,w_p_m1911_t1
M1911,Tactical M1911,S,High End,Pistol,117435.5,12,310,7,2330,100,Pistol Damage,15,,,A,A,Micro / Neutral,Gadget,Pistol,.45 ACP,m1911.png,w_p_m1911_t1
M1911,Tactical M1911 Replica,S,High End,Pistol,117435.5,12,310,7,2330,100,Pistol Damage,15,,,A,A,Micro / Neutral,Gadget,Pistol,.45 ACP,m1911.png,w_p_m1911_t1
M9,Military M9,S,High End,Pistol,102584.5,16,350,15,1900,100,Pistol Damage,15,,,A,A,,,Pistol,9mm,m9.png,w_p_m9_t1
M9,Military M9 Replica,S,High End,Pistol,102584.5,16,350,15,1900,100,Pistol Damage,15,,,A,A,,,Pistol,9mm,m9.png,w_p_m9_t1
M9,Officer's M9 A1,S,High End,Pistol,95697.5,16,350,15,1960,100,Pistol Damage,15,,,A,A,Micro / Neutral,Gadget,Pistol,9mm,m9.png,w_p_m9_t1
PF45,Custom PF45,S,High End,Pistol,93962.5,14,370,10,1770,100,Pistol Damage,15,,,A,A,Micro / Neutral,Gadget,Pistol,.45 ACP,p45.png,w_p_m&p45_t1
PF45,First Wave PF45,S,High End,Pistol,100727.5,14,370,10,1740,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,,p45.png,w_p_m&p45_t1
Px4,Px4 Storm Type F,S,High End,Pistol,91692,12,380,14,1630,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,9mm,px4.png,w_p_px4_t1
Px4,Px4 Storm Type T,S,High End,Pistol,91692,12,380,14,1630,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,px4.png,w_p_px4_t1
Px4,Px4 Storm Type T Replica,S,High End,Pistol,91692,12,380,14,1630,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,px4.png,w_p_px4_t1
Rhino,Diceros,S,High End,Pistol,204803,18,180,6,2000,100,Pistol Damage,15,,,A,A,,Gadget,Revolver Drum,,rhino.png,w_p_rhino_t1
Rhino,Diceros Replica,S,High End,Pistol,204803,18,180,6,2000,100,Pistol Damage,15,,,A,A,,Gadget,Revolver Drum,,rhino.png,w_p_rhino_t1
Rhino,Snubnosed Diceros,S,High End,Pistol,211295,18,180,6,1980,100,Pistol Damage,15,,,A,A,,,Revolver Drum,,rhino.png,w_p_rhino_t1
X-45,X-45,S,High End,Pistol,88321,16,400,15,1990,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,x_45.png,w_p_fnx45_tactical_t1
X-45,X-45 Tactical,S,High End,Pistol,88321,16,400,15,1990,100,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,x_45.png,w_p_fnx45_tactical_t1
